energy_eV,delta_Im_epsilon
1.939999999999999947e+00,-3.227698169059906377e+02
1.949999999999999956e+00,-2.331013848024907986e+02
1.959999999999999964e+00,-1.263027294735863535e+02
1.969999999999999973e+00,-6.138160510838778450e+00
1.979999999999999982e+00,1.227075111640477445e+02
1.989999999999999991e+00,2.548551399331334153e+02
2.000000000000000000e+00,3.845082306569543675e+02
2.010000000000000231e+00,5.057645264526983624e+02
2.020000000000000018e+00,6.129432425543492400e+02
2.030000000000000249e+00,7.009075042396897288e+02
2.040000000000000036e+00,7.653614434446018322e+02
2.049999999999999822e+00,8.031027154726525623e+02
2.060000000000000053e+00,8.122138402225165237e+02
2.069999999999999840e+00,7.921795804462274191e+02
2.080000000000000071e+00,7.439222863573239692e+02
2.089999999999999858e+00,6.697524382764589745e+02
2.100000000000000089e+00,5.732371403921249566e+02
2.109999999999999876e+00,4.589946758301681484e+02
2.120000000000000107e+00,3.324280538606326445e+02
2.129999999999999893e+00,1.994144300767350444e+02
2.140000000000000124e+00,6.597008774875337167e+01
2.149999999999999911e+00,-6.208785716590953996e+01
2.160000000000000142e+00,-1.794618192471304496e+02
2.169999999999999929e+00,-2.816563443320348483e+02
2.180000000000000160e+00,-3.652058116184845744e+02
2.189999999999999947e+00,-4.278339154778479383e+02
2.200000000000000178e+00,-4.685362653900981513e+02
2.209999999999999964e+00,-4.875826176572168720e+02
2.220000000000000195e+00,-4.864405803678826032e+02
2.229999999999999982e+00,-4.676277450614702502e+02
2.240000000000000213e+00,-4.345037467529858759e+02
2.250000000000000000e+00,-3.910174354767125351e+02
2.260000000000000231e+00,-3.414269201446340389e+02
2.270000000000000018e+00,-2.900115637400197670e+02
2.280000000000000249e+00,-2.407950033262229681e+02
2.290000000000000036e+00,-1.972969687831689782e+02
2.300000000000000266e+00,-1.623292004663507271e+02
2.310000000000000053e+00,-1.378473177771786311e+02
2.319999999999999840e+00,-1.248663314924347105e+02
2.330000000000000071e+00,-1.234429299150156965e+02
2.339999999999999858e+00,-1.327230306343713551e+02
2.350000000000000089e+00,-1.510487010836068578e+02
2.359999999999999876e+00,-1.761147112112699631e+02
2.370000000000000107e+00,-2.051619427276521606e+02
2.379999999999999893e+00,-2.351928302162079660e+02
2.390000000000000124e+00,-2.631930631767689306e+02
2.399999999999999911e+00,-2.863439665318015841e+02
2.410000000000000142e+00,-3.022112504542316742e+02
2.419999999999999929e+00,-3.088980529989452748e+02
2.430000000000000160e+00,-3.051532007774927706e+02
2.439999999999999947e+00,-2.904291445564446690e+02
2.450000000000000178e+00,-2.648878184825289850e+02
2.459999999999999964e+00,-2.293564438103347243e+02
2.470000000000000195e+00,-1.852387810562033224e+02
2.479999999999999982e+00,-1.343902884621843725e+02
2.490000000000000213e+00,-7.896787554084122007e+01
2.500000000000000000e+00,-2.126631292762860070e+01
2.510000000000000231e+00,3.644619491867915428e+01
2.520000000000000018e+00,9.208124858648680799e+01
2.530000000000000249e+00,1.438616175805102557e+02
2.540000000000000036e+00,1.904221111681388834e+02
2.550000000000000266e+00,2.308739587524333388e+02
2.560000000000000053e+00,2.648296628884686470e+02
2.569999999999999840e+00,2.923883587115042815e+02
2.580000000000000071e+00,3.140846639046674227e+02
2.589999999999999858e+00,3.308066195027803360e+02
2.600000000000000089e+00,3.436904216144909583e+02
2.609999999999999876e+00,3.540010895027485844e+02
2.620000000000000107e+00,3.630089213226335687e+02
2.629999999999999893e+00,3.718715277359529523e+02
2.640000000000000124e+00,3.815304360660308589e+02
2.649999999999999911e+00,3.926298079714238725e+02
2.660000000000000142e+00,4.054628421539534884e+02
2.669999999999999929e+00,4.199491056651083341e+02
2.680000000000000160e+00,4.356435398339945095e+02
2.689999999999999947e+00,4.517754136583875493e+02
2.700000000000000178e+00,4.673132350075454724e+02
2.709999999999999964e+00,4.810497431957119261e+02
2.720000000000000195e+00,4.916997273665825219e+02
2.729999999999999982e+00,4.980026336492176711e+02
2.740000000000000213e+00,4.988217825886801506e+02
2.750000000000000000e+00,4.932325098293205201e+02
2.760000000000000231e+00,4.805926127174876683e+02
2.770000000000000018e+00,4.605900364006453742e+02
2.780000000000000249e+00,4.332646342327489037e+02
2.790000000000000036e+00,3.990029347360292604e+02
2.800000000000000266e+00,3.585069758425857458e+02
2.810000000000000053e+00,3.127402630991349497e+02
2.819999999999999840e+00,2.628556223065762651e+02
2.830000000000000071e+00,2.101110238474736036e+02
2.839999999999999858e+00,1.557802645414808467e+02
2.850000000000000089e+00,1.010656518344054717e+02
2.859999999999999876e+00,4.701953580905102115e+01
2.870000000000000107e+00,-5.519289246114837511e+00
2.879999999999999893e+00,-5.596956722404614482e+01
2.890000000000000124e+00,-1.040288210484324338e+02
2.899999999999999911e+00,-1.496705632425478711e+02
2.910000000000000142e+00,-1.931180959939437116e+02
2.919999999999999929e+00,-2.347973538481271021e+02
