energy_eV,delta_vs_alpha02,delta_vs_same_alpha
9.599999999999999645e-01,-2.551452339905137201e+00,-3.001313027413628376e+00
9.699999999999999734e-01,1.371353679513427970e+01,1.325318708647283295e+01
9.799999999999999822e-01,2.903682598038868079e+01,2.857072898878934808e+01
9.899999999999999911e-01,4.309837391507878124e+01,4.263187034569986622e+01
1.000000000000000000e+00,5.558846328453974195e+01,5.512696081652812552e+01
1.010000000000000009e+00,6.621198732855096125e+01,6.576045668793388188e+01
1.020000000000000018e+00,7.469463488006532259e+01,7.425717604427167373e+01
1.030000000000000027e+00,8.079080875149934116e+01,8.037032082969858493e+01
1.040000000000000036e+00,8.429290297753587424e+01,8.389088050293423748e+01
1.050000000000000044e+00,8.504138610853267721e+01,8.465785238950988401e+01
1.060000000000000053e+00,8.293500419888601982e+01,8.256858005870672912e+01
1.070000000000000062e+00,7.794033807322080065e+01,7.758843278056650661e+01
1.080000000000000071e+00,7.009993009863816837e+01,6.975903145793604665e+01
1.090000000000000080e+00,5.953823661299308156e+01,5.920426977075918273e+01
1.100000000000000089e+00,4.646475948937127498e+01,4.613347951960444249e+01
1.110000000000000098e+00,3.117385627569452922e+01,3.084123827591386302e+01
1.120000000000000107e+00,1.404091201974497416e+01,1.370350425593785459e+01
1.130000000000000115e+00,-4.485235828795210544e+00,-4.830025522775829749e+00
1.140000000000000124e+00,-2.389350940782832922e+01,-2.424721674332679910e+01
1.150000000000000133e+00,-4.362511465111291642e+01,-4.398812556497652793e+01
1.159999999999999920e+00,-6.309085589138947370e+01,-6.346242124299406839e+01
1.169999999999999929e+00,-8.169055116410693529e+01,-8.206890424006100204e+01
1.179999999999999938e+00,-9.883372936591648283e+01,-9.921629209096020929e+01
1.189999999999999947e+00,-1.139607066350203439e+02,-1.143443629939066994e+02
1.199999999999999956e+00,-1.265631045335849052e+02,-1.269445144020312313e+02
1.209999999999999964e+00,-1.362028874481437697e+02,-1.365788112103045933e+02
1.219999999999999973e+00,-1.425290588782342809e+02,-1.428966630543601468e+02
1.229999999999999982e+00,-1.452912612691709455e+02,-1.456483778419246846e+02
1.239999999999999991e+00,-1.443496650487737440e+02,-1.446949819907179347e+02
1.250000000000000000e+00,-1.396807013376207465e+02,-1.400138685411692734e+02
1.260000000000000009e+00,-1.313783802594289511e+02,-1.317000230361279591e+02
1.270000000000000018e+00,-1.196511333181534553e+02,-1.199627741491240727e+02
1.280000000000000027e+00,-1.048143144585745432e+02,-1.051182119872841270e+02
1.290000000000000036e+00,-8.727868123759017749e+01,-8.757760287171487334e+01
1.300000000000000044e+00,-6.753534692994115574e+01,-6.783229722171888909e+01
1.310000000000000053e+00,-4.613783944571606099e+01,-4.643577015373585937e+01
1.320000000000000062e+00,-2.368201805390629744e+01,-2.398354714263586018e+01
1.330000000000000071e+00,-7.846799453741151176e-01,-1.091845651912139337e+00
1.340000000000000080e+00,2.193826700109149641e+01,2.162419439138723476e+01
1.350000000000000089e+00,4.389318237712643622e+01,4.357181392589867386e+01
1.360000000000000098e+00,6.452877039136994597e+01,6.420062700130648636e+01
1.370000000000000107e+00,8.335407064431315405e+01,8.302052451297527114e+01
1.380000000000000115e+00,9.995367623847099026e+01,9.961681123080063571e+01
1.390000000000000124e+00,1.139996201062122338e+02,1.136620245323107810e+02
1.400000000000000133e+00,1.252595202426000895e+02,1.249240318003351717e+02
1.409999999999999920e+00,1.336007405592708892e+02,1.332701676466632819e+02
1.419999999999999929e+00,1.389904991988262566e+02,1.386673450096754152e+02
1.429999999999999938e+00,1.414920327588243651e+02,1.411782483385323985e+02
1.439999999999999947e+00,1.412570951648375797e+02,1.409538849350618932e+02
1.449999999999999956e+00,1.385152262185583822e+02,1.382229246140928467e+02
1.459999999999999964e+00,1.335603599097626386e+02,1.332783911461713728e+02
1.469999999999999973e+00,1.267354500205319141e+02,1.264623752282343503e+02
1.479999999999999982e+00,1.184158651354094047e+02,1.181495128681187481e+02
1.489999999999999991e+00,1.089923431576328028e+02,1.087300113706257036e+02
1.500000000000000000e+00,9.885429482512006416e+01,9.859300556045221242e+01
1.510000000000000009e+00,8.837420646217103126e+01,8.811098932269190698e+01
1.520000000000000018e+00,7.789381625781945218e+01,7.762599379831615920e+01
1.530000000000000027e+00,6.771262968688408534e+01,6.743807739924649525e+01
1.540000000000000036e+00,5.807920408431183290e+01,5.779655977589662541e+01
1.550000000000000044e+00,4.918547721378259041e+01,4.889427910719840753e+01
1.560000000000000053e+00,4.116424848389494429e+01,4.086498790859315022e+01
1.570000000000000062e+00,3.408975350512562841e+01,3.378383601916335977e+01
1.580000000000000071e+00,2.798111234766009403e+01,2.767072979232207075e+01
1.590000000000000080e+00,2.280828813271998357e+01,2.249621267721096984e+01
1.600000000000000089e+00,1.850007346015175358e+01,1.818939232932572736e+01
1.610000000000000098e+00,1.495353413302311374e+01,1.464734969170121381e+01
