energy_au,energy_eV,re_eps_z,im_eps_z
0.28700000,7.80966785,-2.394525695437e+02,3.161935681345e+02
0.28800000,7.83687924,-2.373125674606e+02,3.168924338237e+02
0.28900000,7.86409063,-2.353931304134e+02,3.177311620555e+02
0.29000000,7.89130201,-2.336995616889e+02,3.186996563713e+02
0.29100000,7.91851340,-2.322368593885e+02,3.197874833626e+02
0.29200000,7.94572478,-2.310096869089e+02,3.209838786482e+02
0.29300000,7.97293617,-2.300223434777e+02,3.222777553579e+02
0.29400000,8.00014756,-2.292787349373e+02,3.236577151183e+02
0.29500000,8.02735894,-2.287823449719e+02,3.251120615195e+02
0.29600000,8.05457033,-2.285362069679e+02,3.266288160294e+02
0.29700000,8.08178172,-2.285428766954e+02,3.281957363072e+02
0.29800000,8.10899310,-2.288044059944e+02,3.298003368569e+02
0.29900000,8.13620449,-2.293223176445e+02,3.314299119441e+02
0.30000000,8.16341587,-2.300975815889e+02,3.330715606926e+02
0.30100000,8.19062726,-2.311305926806e+02,3.347122142594e+02
0.30200000,8.21783865,-2.324211501060e+02,3.363386649801e+02
0.30300000,8.24505003,-2.339684386365e+02,3.379375973616e+02
0.30400000,8.27226142,-2.357710118483e+02,3.394956207928e+02
0.30500000,8.29947281,-2.378267774404e+02,3.409993038297e+02
0.30600000,8.32668419,-2.401329847707e+02,3.424352099076e+02
0.30700000,8.35389558,-2.426862147183e+02,3.437899343200e+02
0.30800000,8.38110696,-2.454823719713e+02,3.450501422998e+02
0.30900000,8.40831835,-2.485166798231e+02,3.462026080317e+02
0.31000000,8.43552974,-2.517836775511e+02,3.472342544163e+02
0.31100000,8.46274112,-2.552772204384e+02,3.481321934053e+02
0.31200000,8.48995251,-2.589904824852e+02,3.488837667210e+02
0.31300000,8.51716389,-2.629159618436e+02,3.494765867714e+02
0.31400000,8.54437528,-2.670454889969e+02,3.498985775688e+02
0.31500000,8.57158667,-2.713702376910e+02,3.501380154620e+02
0.31600000,8.59879805,-2.758807386105e+02,3.501835694869e+02
0.31700000,8.62600944,-2.805668957806e+02,3.500243411468e+02
0.31800000,8.65322083,-2.854180056622e+02,3.496499034311e+02
0.31900000,8.68043221,-2.904227788930e+02,3.490503388851e+02
0.32000000,8.70764360,-2.955693646169e+02,3.482162765486e+02
0.32100000,8.73485498,-3.008453773290e+02,3.471389275833e+02
0.32200000,8.76206637,-3.062379261532e+02,3.458101194138e+02
0.32300000,8.78927776,-3.117336464562e+02,3.442223282173e+02
0.32400000,8.81648914,-3.173187336910e+02,3.423687095975e+02
0.32500000,8.84370053,-3.229789793519e+02,3.402431272918e+02
0.32600000,8.87091192,-3.286998089125e+02,3.378401797649e+02
0.32700000,8.89812330,-3.344663216096e+02,3.351552245538e+02
0.32800000,8.92533469,-3.402633319238e+02,3.321844002372e+02
0.32900000,8.95254607,-3.460754126044e+02,3.289246459123e+02
0.33000000,8.97975746,-3.518869390725e+02,3.253737180749e+02
0.33100000,9.00696885,-3.576821350339e+02,3.215302048069e+02
0.33200000,9.03418023,-3.634451191259e+02,3.173935371890e+02
0.33300000,9.06139162,-3.691599524149e+02,3.129639978686e+02
0.33400000,9.08860301,-3.748106865609e+02,3.082427267235e+02
0.33500000,9.11581439,-3.803814124581e+02,3.032317235762e+02
0.33600000,9.14302578,-3.858563091590e+02,2.979338479256e+02
0.33700000,9.17023716,-3.912196928902e+02,2.923528156766e+02
0.33800000,9.19744855,-3.964560659608e+02,2.864931928599e+02
0.33900000,9.22465994,-4.015501653725e+02,2.803603863491e+02
0.34000000,9.25187132,-4.064870109334e+02,2.739606315928e+02
0.34100000,9.27908271,-4.112519526851e+02,2.673009773954e+02
0.34200000,9.30629410,-4.158307174509e+02,2.603892677900e+02
0.34300000,9.33350548,-4.202094543201e+02,2.532341210613e+02
0.34400000,9.36071687,-4.243747788832e+02,2.458449059884e+02
0.34500000,9.38792825,-4.283138160430e+02,2.382317153888e+02
0.34600000,9.41513964,-4.320142412271e+02,2.304053370561e+02
0.34700000,9.44235103,-4.354643198383e+02,2.223772221972e+02
0.34800000,9.46956241,-4.386529447827e+02,2.141594514826e+02
0.34900000,9.49677380,-4.415696719278e+02,2.057646988355e+02
0.35000000,9.52398519,-4.442047533466e+02,1.972061930949e+02
