itt,time_au,time_as,para_z,dia_z,total_z
125,2.5000000000,60.4721081626,1.267694000000e-04,6.063313000000e-05,1.874026000000e-04
126,2.5200000000,60.9558850279,1.303827000000e-04,6.063313000000e-05,1.910158000000e-04
127,2.5400000000,61.4396618932,1.339278000000e-04,6.063313000000e-05,1.945609000000e-04
128,2.5600000000,61.9234387585,1.374025000000e-04,6.063313000000e-05,1.980356000000e-04
129,2.5800000000,62.4072156238,1.408045000000e-04,6.063313000000e-05,2.014377000000e-04
130,2.6000000000,62.8909924891,1.441317000000e-04,6.063313000000e-05,2.047649000000e-04
131,2.6200000000,63.3747693544,1.473819000000e-04,6.063313000000e-05,2.080151000000e-04
132,2.6400000000,63.8585462197,1.505532000000e-04,6.063313000000e-05,2.111863000000e-04
133,2.6600000000,64.3423230850,1.536434000000e-04,6.063313000000e-05,2.142765000000e-04
134,2.6800000000,64.8260999503,1.566508000000e-04,6.063313000000e-05,2.172839000000e-04
135,2.7000000000,65.3098768156,1.595735000000e-04,6.063313000000e-05,2.202067000000e-04
136,2.7200000000,65.7936536809,1.624099000000e-04,6.063313000000e-05,2.230430000000e-04
137,2.7400000000,66.2774305462,1.651581000000e-04,6.063313000000e-05,2.257913000000e-04
138,2.7600000000,66.7612074115,1.678168000000e-04,6.063313000000e-05,2.284500000000e-04
139,2.7800000000,67.2449842768,1.703844000000e-04,6.063313000000e-05,2.310175000000e-04
140,2.8000000000,67.7287611421,1.728594000000e-04,6.063313000000e-05,2.334926000000e-04
141,2.8200000000,68.2125380074,1.752406000000e-04,6.063313000000e-05,2.358738000000e-04
142,2.8400000000,68.6963148727,1.775267000000e-04,6.063313000000e-05,2.381598000000e-04
143,2.8600000000,69.1800917380,1.797165000000e-04,6.063313000000e-05,2.403497000000e-04
144,2.8800000000,69.6638686033,1.818090000000e-04,6.063313000000e-05,2.424422000000e-04
145,2.9000000000,70.1476454686,1.838032000000e-04,6.063313000000e-05,2.444363000000e-04
146,2.9200000000,70.6314223339,1.856980000000e-04,6.063313000000e-05,2.463312000000e-04
147,2.9400000000,71.1151991992,1.874928000000e-04,6.063313000000e-05,2.481259000000e-04
148,2.9600000000,71.5989760645,1.891867000000e-04,6.063313000000e-05,2.498198000000e-04
149,2.9800000000,72.0827529298,1.907790000000e-04,6.063313000000e-05,2.514121000000e-04
150,3.0000000000,72.5665297952,1.922692000000e-04,6.063313000000e-05,2.529024000000e-04
151,3.0200000000,73.0503066605,1.936568000000e-04,6.063313000000e-05,2.542900000000e-04
152,3.0400000000,73.5340835258,1.949414000000e-04,6.063313000000e-05,2.555745000000e-04
153,3.0600000000,74.0178603911,1.961225000000e-04,6.063313000000e-05,2.567556000000e-04
154,3.0800000000,74.5016372564,1.972000000000e-04,6.063313000000e-05,2.578331000000e-04
155,3.1000000000,74.9854141217,1.981736000000e-04,6.063313000000e-05,2.588067000000e-04
156,3.1200000000,75.4691909870,1.990432000000e-04,6.063313000000e-05,2.596763000000e-04
157,3.1400000000,75.9529678523,1.998089000000e-04,6.063313000000e-05,2.604420000000e-04
158,3.1600000000,76.4367447176,2.004706000000e-04,6.063313000000e-05,2.611037000000e-04
159,3.1800000000,76.9205215829,2.010285000000e-04,6.063313000000e-05,2.616616000000e-04
160,3.2000000000,77.4042984482,2.014827000000e-04,6.063313000000e-05,2.621159000000e-04
161,3.2200000000,77.8880753135,2.018337000000e-04,6.063313000000e-05,2.624668000000e-04
162,3.2400000000,78.3718521788,2.020817000000e-04,6.063313000000e-05,2.627148000000e-04
163,3.2600000000,78.8556290441,2.022271000000e-04,6.063313000000e-05,2.628603000000e-04
164,3.2800000000,79.3394059094,2.022705000000e-04,6.063313000000e-05,2.629036000000e-04
165,3.3000000000,79.8231827747,2.022124000000e-04,6.063313000000e-05,2.628455000000e-04
166,3.3200000000,80.3069596400,2.020534000000e-04,6.063313000000e-05,2.626865000000e-04
167,3.3400000000,80.7907365053,2.017943000000e-04,6.063313000000e-05,2.624274000000e-04
168,3.3600000000,81.2745133706,2.014358000000e-04,6.063313000000e-05,2.620689000000e-04
169,3.3800000000,81.7582902359,2.009788000000e-04,6.063313000000e-05,2.616119000000e-04
170,3.4000000000,82.2420671012,2.004241000000e-04,6.063313000000e-05,2.610572000000e-04
171,3.4200000000,82.7258439665,1.997727000000e-04,6.063313000000e-05,2.604059000000e-04
172,3.4400000000,83.2096208318,1.990257000000e-04,6.063313000000e-05,2.596588000000e-04
173,3.4600000000,83.6933976971,1.981841000000e-04,6.063313000000e-05,2.588172000000e-04
