# energy_eV,HSE_Re,HSE_Im,TDCDFT_Re,TDCDFT_Im
1.500000000000000000e+00,1.295990771395506158e+01,-5.250970341539691333e-01,2.784077850692743183e+01,3.380085802598444683e-02
1.510000000000000009e+00,1.297434205711034672e+01,-5.209139712178023629e-01,2.773141155682709069e+01,-1.841219850928444909e-02
1.520000000000000018e+00,1.298903994847103505e+01,-5.163769936084828815e-01,2.764145969719939444e+01,-7.373135011518626436e-02
1.530000000000000027e+00,1.300394166205705027e+01,-5.115152438420836889e-01,2.757016258394031993e+01,-1.303641998436647631e-01
1.540000000000000036e+00,1.301899289647359481e+01,-5.063659220710802211e-01,2.751661552471179562e+01,-1.866615768112364349e-01
1.550000000000000044e+00,1.303414588286808318e+01,-5.009734324108806591e-01,2.747978672430460634e+01,-2.411279050784942424e-01
1.560000000000000053e+00,1.304936036016171030e+01,-4.953883756142500872e-01,2.745853518816692329e+01,-2.924299328752852922e-01
1.570000000000000062e+00,1.306460439614307845e+01,-4.896664080724609791e-01,2.745162917518897316e+01,-3.394037814161216526e-01
1.580000000000000071e+00,1.307985503592725429e+01,-4.838669901731131873e-01,2.745776508664285487e+01,-3.810602714465711194e-01
1.590000000000000080e+00,1.309509876265091677e+01,-4.780520496779169792e-01,2.747558667173407798e+01,-4.165884854503124624e-01
1.600000000000000089e+00,1.311033175903255632e+01,-4.722845879295930471e-01,2.750370442174094876e+01,-4.453575247076285715e-01
1.610000000000000098e+00,1.312555996250583590e+01,-4.666272582948103320e-01,2.754071501452978765e+01,-4.669164236567704962e-01
1.620000000000000107e+00,1.314079891095395425e+01,-4.611409472490952122e-01,2.758522065976779913e+01,-4.809921897347911313e-01
1.630000000000000115e+00,1.315607338054259223e+01,-4.558833888715846938e-01,2.763584818293238854e+01,-4.874859454418392080e-01
1.640000000000000124e+00,1.317141682167629213e+01,-4.509078432173416195e-01,2.769126767383572840e+01,-4.864671610620038278e-01
1.650000000000000133e+00,1.318687060358533891e+01,-4.462618680625296541e-01,2.775021051349942525e+01,-4.781659814497573047e-01
1.660000000000000142e+00,1.320248308238821799e+01,-4.419862118776310966e-01,2.781148658251976613e+01,-4.629636685969670262e-01
1.669999999999999929e+00,1.321830851156586739e+01,-4.381138535970657832e-01,2.787400044526923892e+01,-4.413812032431554400e-01
1.679999999999999938e+00,1.323440581753069267e+01,-4.346692118556160223e-01,2.793676629808472711e+01,-4.140661133625194168e-01
1.689999999999999947e+00,1.325083726628146508e+01,-4.316675429055037982e-01,2.799892146667223258e+01,-3.817776246019616293e-01
1.699999999999999956e+00,1.326766704992162893e+01,-4.291145424773512018e-01,2.805973823893034336e+01,-3.453702571765833174e-01
1.709999999999999964e+00,1.328495982400465891e+01,-4.270061624845218340e-01,2.811863382480700579e+01,-3.057760247541442267e-01
1.719999999999999973e+00,1.330277922819614744e+01,-4.253286487829130991e-01,2.817517824510437308e+01,-2.639854227724741098e-01
1.729999999999999982e+00,1.332118642355661287e+01,-4.240588012894552783e-01,2.822909996667373278e+01,-2.210274256366621393e-01
1.739999999999999991e+00,1.334023867981884770e+01,-4.231644527397900313e-01,2.828028912239740222e+01,-1.779487434664687451e-01
