# eV,ground_re,ground_im,pumped_re,pumped_im
1.510000000000000009e+00,1.292242716768931388e+01,5.670201884122917646e-02,1.876418831311222490e+01,-4.929130668128650683e+01
1.520000000000000018e+00,1.293429308380514264e+01,5.396495137895537114e-02,2.666328694325047977e+01,-4.487848842813760086e+01
1.530000000000000027e+00,1.294728608709000106e+01,5.126960396687153115e-02,3.400399794312231450e+01,-3.953921649096390212e+01
1.540000000000000036e+00,1.296137740752454626e+01,4.877326024579497349e-02,4.066974328272542749e+01,-3.334697979640546350e+01
1.550000000000000044e+00,1.297650440780575920e+01,4.662343036481144537e-02,4.655408074395780460e+01,-2.639060563554280492e+01
1.560000000000000053e+00,1.299257357187207518e+01,4.495062117273495444e-02,5.156282938317423259e+01,-1.877283639744316446e+01
1.570000000000000062e+00,1.300946499535876022e+01,4.386193790730602560e-02,5.561599200922947261e+01,-1.060859159788386386e+01
1.580000000000000071e+00,1.302703816111980117e+01,4.343582221249415315e-02,5.864942452004835616e+01,-2.022945022505295398e+00
1.590000000000000080e+00,1.304513872258190510e+01,4.371817728618647425e-02,6.061620656877520474e+01,6.851144629049121804e+00
1.600000000000000089e+00,1.306360597031372883e+01,4.472006529757364263e-02,6.148767420385673432e+01,1.587530342540599015e+01
1.610000000000000098e+00,1.308228062497489042e+01,4.641708794724520165e-02,6.125408270015093137e+01,2.490835932331154368e+01
1.620000000000000107e+00,1.310101258423616599e+01,4.875048159867473307e-02,5.992487656977119315e+01,3.380904844858584823e+01
1.630000000000000115e+00,1.311966825306094897e+01,5.162987744793170325e-02,5.752855346301264206e+01,4.243874842120992952e+01
1.640000000000000124e+00,1.313813710584143735e+01,5.493759845409613984e-02,5.411211905270770472e+01,5.066417448362474829e+01
1.650000000000000133e+00,1.315633716443513102e+01,5.853429186332170103e-02,4.974014072126617236e+01,5.835997389709575600e+01
1.660000000000000142e+00,1.317421912653967553e+01,6.226563250363510021e-02,4.449341860152093631e+01,6.541115565831934475e+01
1.669999999999999929e+00,1.319176894178527526e+01,6.596978056898368525e-02,3.846730291694098725e+01,7.171529604517719747e+01
1.679999999999999938e+00,1.320900870554368822e+01,6.948524076583624531e-02,3.176969628636594223e+01,7.718446575009616595e+01
1.689999999999999947e+00,1.322599581942656499e+01,7.265874921886496252e-02,2.451878838394163651e+01,8.174683126301428615e+01
1.699999999999999956e+00,1.324282044914681045e+01,7.535281143706122620e-02,1.684057778697945906e+01,8.534789152673690182e+01
1.709999999999999964e+00,1.325960139107622560e+01,7.745252915012859618e-02,8.866241754020752097e+00,8.795132045740744786e+01
1.719999999999999973e+00,1.327648053471245682e+01,7.887138535337499812e-02,7.294188528656264658e-01,8.953939641104125258e+01
1.729999999999999982e+00,1.329361617582755173e+01,7.955570408109428893e-02,-7.436528339050893166e+00,9.011301075987381637e+01
1.739999999999999991e+00,1.331117549113272780e+01,7.948756217151399517e-02,-1.550120289262546081e+01,8.969125907451395108e+01
1.750000000000000000e+00,1.332932652718526967e+01,7.868600186352071868e-02,-2.333974959875769883e+01,8.831062963495068630e+01
1.760000000000000009e+00,1.334823008194801197e+01,7.720647223384408120e-02,-3.083525505568221803e+01,8.602381476366220170e+01
1.770000000000000018e+00,1.336803186557822443e+01,7.513851062954117477e-02,-3.788091472903769841e+01,8.289818045092283683e+01
1.780000000000000027e+00,1.338885531715718535e+01,7.260175854992366451e-02,-4.438191693226378476e+01,7.901393861621134818e+01
1.790000000000000036e+00,1.341079542648351008e+01,6.974048602341358094e-02,-5.025700207412938880e+01,7.446207384817876118e+01
1.800000000000000044e+00,1.343391386586830016e+01,6.671687068414278166e-02,-5.543966505601173367e+01,6.934208236340640497e+01
1.810000000000000053e+00,1.345823567798795928e+01,6.370333906541235380e-02,-5.987897906596550968e+01,6.375958504986854791e+01
1.820000000000000062e+00,1.348374769486307656e+01,6.087432514504653031e-02,-6.354002987672326697e+01,5.782387870301374022e+01
1.830000000000000071e+00,1.351039878311291176e+01,5.839783255811447499e-02,-6.640396076421458815e+01,5.164548987222557486e+01
1.840000000000000080e+00,1.353810192540193036e+01,5.642720051319309593e-02,-6.846763897437104163e+01,4.533379412878943526e+01
