# eV,ground_re,ground_im,pumped_re,pumped_im
1.419999999999999929e+00,1.141039036276251117e+01,3.610125713600917940e-01,1.833082359813082718e+01,4.984119292443991611e+01
1.429999999999999938e+00,1.111266399133510774e+01,4.259293549365700260e-01,1.508520744676656378e+01,4.674367529276595690e+01
1.439999999999999947e+00,1.078825664362114978e+01,4.483353223959654632e-01,1.253367327942811293e+01,4.335980303577720463e+01
1.449999999999999956e+00,1.045079160011274766e+01,4.225096270933749731e-01,1.067674307976774273e+01,3.977563477528609326e+01
1.459999999999999964e+00,1.011548281871880128e+01,3.473540777040363126e-01,9.513090122136434346e+00,3.606751125667977931e+01
1.469999999999999973e+00,9.797631230155479543e+00,2.268443049417173951e-01,9.043294365465023077e+00,3.230553350260681356e+01
1.479999999999999982e+00,9.510999018269279404e+00,6.999970611291798928e-02,9.271916166490189681e+00,2.855812390787228239e+01
1.489999999999999991e+00,9.266214338971479947e+00,-1.096591874240731845e-01,1.020761531134496636e+01,2.489707216840071879e+01
1.500000000000000000e+00,9.069366439764333876e+00,-2.951494988656497287e-01,1.186123342367312183e+01,2.140240572321814483e+01
1.510000000000000009e+00,8.920943848278213295e+00,-4.674951793584753990e-01,1.424196143793491132e+01,1.816642027661976755e+01
1.520000000000000018e+00,8.815245970542385123e+00,-6.075144056683576821e-01,1.735191279191589331e+01,1.529626196633147117e+01
1.530000000000000027e+00,8.740362220737482701e+00,-6.977741350884130167e-01,2.117959995610360124e+01,1.291456581416774618e+01
1.540000000000000036e+00,8.678765179688689102e+00,-7.245334221108111761e-01,2.569295090928193659e+01,1.115781726792237372e+01
1.550000000000000044e+00,8.608508923121108936e+00,-6.794846261719065250e-01,3.083258997494919029e+01,1.017230255229350533e+01
1.560000000000000053e+00,8.504965165572839325e+00,-5.611061339230493106e-01,3.650613478481655960e+01,1.010773335945933660e+01
1.570000000000000062e+00,8.342973380015889617e+00,-3.754623888171810808e-01,4.258422360003420692e+01,1.110885406865465441e+01
1.580000000000000071e+00,8.099231849802627892e+00,-1.363260232057804389e-01,4.889888569607996516e+01,1.330554636828290249e+01
1.590000000000000080e+00,7.754719624966801561e+00,1.354496736623989894e-01,5.524470829244129533e+01,1.680211884127901811e+01
1.600000000000000089e+00,7.296918735224436681e+00,4.133156673780186141e-01,6.138304786917677092e+01,2.166659206825762141e+01
1.610000000000000098e+00,6.721604707326550354e+00,6.671075101919395900e-01,6.704929711901920086e+01,2.792085109829887557e+01
1.620000000000000107e+00,6.033992878607088883e+00,8.656896136961790278e-01,7.196296968024445562e+01,3.553252950343387795e+01
1.630000000000000115e+00,5.249067905744242424e+00,9.799687312967672037e-01,7.584012314864081361e+01,4.440941091893946435e+01
1.640000000000000124e+00,4.390982167472250453e+00,9.860308701736620884e-01,7.840742654934655320e+01,5.439698896696096853e+01
1.650000000000000133e+00,3.491481682423668076e+00,8.681222467249510855e-01,7.941700960381724883e+01,6.527962428421308516e+01
1.660000000000000142e+00,2.587400472837440457e+00,6.211828036059270364e-01,7.866112264697650858e+01,7.678549239952189964e+01
1.669999999999999929e+00,1.717349667979337635e+00,2.526527096870033740e-01,7.598559830449005403e+01,8.859524657864406549e+01
1.679999999999999938e+00,9.178091022956847977e-01,-2.166912081329487871e-01,7.130114395709023256e+01,1.003540459772999611e+02
1.689999999999999947e+00,2.188996932314886124e-01,-7.530523823059930288e-01,6.459160659797855430e+01,1.116863427620193931e+02
1.699999999999999956e+00,-3.598320439837294771e-01,-1.311188411631193151e+00,5.591853199863768253e+01,1.222126025519879136e+02
1.709999999999999964e+00,-8.132558369537181697e-01,-1.837251266139406480e+00,4.542157575309082773e+01,1.315669682792849358e+02
1.719999999999999973e+00,-1.153761025390537043e+00,-2.272800722912304394e+00,3.331459785967305010e+01,1.394147819876592962e+02
1.729999999999999982e+00,-1.413282112437094007e+00,-2.559795194707216837e+00,1.987756488624779649e+01,1.454688606444641721e+02
1.739999999999999991e+00,-1.643961214915266034e+00,-2.646269022886135414e+00,5.444672657312604080e+00,1.495034832893514363e+02
1.750000000000000000e+00,-1.917242300537094213e+00,-2.492325778830319027e+00,-9.610633937291339635e+00,1.513651842141234738e+02
1.760000000000000009e+00,-2.321293745782812667e+00,-2.076020211326332632e+00,-2.489284895107965312e+01,1.509796508997433762e+02
