# eV,ground_re,ground_im,pumped_re,pumped_im
9.100000000000000311e-01,1.634705161701004883e+01,-6.683260140341282241e-02,-6.278439132287933688e+01,-8.410767594925722790e+01
9.200000000000000400e-01,1.626604961316133924e+01,-7.908203002442784624e-02,-5.515164400059440908e+01,-8.181404474156059337e+01
9.300000000000000488e-01,1.618979013909236642e+01,-8.632267393507375708e-02,-4.834402770248120618e+01,-7.905935869953397344e+01
9.400000000000000577e-01,1.611690665603170913e+01,-8.790746854188144499e-02,-4.238303367829117008e+01,-7.600632321099719491e+01
9.500000000000000666e-01,1.604587378325889091e+01,-8.348148338713821948e-02,-3.725902489846031074e+01,-7.281480537631627215e+01
9.599999999999999645e-01,1.597507699878295462e+01,-7.302664523508015093e-02,-3.293297491224921458e+01,-6.963593383123892977e+01
9.699999999999999734e-01,1.590289522030065328e+01,-5.688924239559747797e-02,-2.933929630774922614e+01,-6.660678727703322011e+01
9.799999999999999822e-01,1.582779187995500259e+01,-3.578644545190564491e-02,-2.638958867484359772e+01,-6.384586153226005223e+01
9.899999999999999911e-01,1.574840901177686270e+01,-1.078924478666562319e-02,-2.397710673929410419e+01,-6.144945992858585981e+01
1.000000000000000000e+00,1.566365809774592854e+01,1.671931824575925360e-02,-2.198173119089630134e+01,-5.948910358520615915e+01
1.010000000000000009e+00,1.557280105294010220e+01,4.511005301877196727e-02,-2.027521764009650340e+01,-5.801000906680420854e+01
1.020000000000000018e+00,1.547551483203143796e+01,7.259527780988206391e-02,-1.872650252676327653e+01,-5.703063353303522831e+01
1.030000000000000027e+00,1.537193373631355975e+01,9.733407819562706065e-02,-1.720685762189233259e+01,-5.654324381019827683e+01
1.040000000000000036e+00,1.526266458472013454e+01,1.175493884944833617e-01,-1.559470558216713343e+01,-5.651542757358917157e+01
1.050000000000000044e+00,1.514877143911246549e+01,1.316497898371787600e-01,-1.377993614491598429e+01,-5.689243330938904109e+01
1.060000000000000053e+00,1.503172846293610476e+01,1.383480004311416489e-01,-1.166759413887845653e+01,-5.760020175823344601e+01
1.070000000000000062e+00,1.491334163082809283e+01,1.367676237667889705e-01,-9.180844643420318363e+00,-5.854893550076585740e+01
1.080000000000000071e+00,1.479564225713728653e+01,1.265298849174745777e-01,-6.263155526317518706e+00,-5.963704516584747495e+01
1.090000000000000080e+00,1.468075751894808256e+01,1.078128523274670958e-01,-2.879671552558089154e+00,-6.075530997312387171e+01
1.100000000000000089e+00,1.457076515266136951e+01,8.137699958506540432e-02,9.822141629663090345e-01,-6.179109618624834610e+01
1.110000000000000098e+00,1.446754114544049230e+01,4.855285264942375834e-02,5.313057550275487095e+00,-6.263248852443499004e+01
1.120000000000000107e+00,1.437261038256830759e+01,1.118879534012920743e-02,1.008227237185884029e+01,-6.317220546468256259e+01
1.130000000000000115e+00,1.428701073427509627e+01,-2.844026490573755769e-02,1.523967420610136259e+01,-6.331118838959238815e+01
1.140000000000000124e+00,1.421118089234549586e+01,-6.775990217753379008e-02,2.071756978372262381e+01,-6.296177542033167640e+01
1.150000000000000133e+00,1.414488136298174936e+01,-1.040526590547379421e-01,2.643329318051663890e+01,-6.205039231818835077e+01
1.159999999999999920e+00,1.408715640185737605e+01,-1.346353451998725803e-01,3.229208634928740906e+01,-6.051971397353730708e+01
1.169999999999999929e+00,1.403634240445433790e+01,-1.570464235296112898e-01,3.819022152663406189e+01,-5.833026984263764092e+01
1.179999999999999938e+00,1.399012545312692346e+01,-1.692313037680879262e-01,4.401826647426710082e+01,-5.546148456916437652e+01
1.189999999999999947e+00,1.394564752953843545e+01,-1.697126448799091414e-01,4.966439952957375681e+01,-5.191216049598648397e+01
1.199999999999999956e+00,1.389965752086398965e+01,-1.577328858616663942e-01,5.501768924925870152e+01,-4.770042161757385202e+01
1.209999999999999964e+00,1.384869979913754356e+01,-1.333572262800462316e-01,5.997126227624929129e+01,-4.286314873903863543e+01
1.219999999999999973e+00,1.378933006574284192e+01,-9.752715438674702808e-02,6.442529227522740598e+01,-3.745494336980092953e+01
1.229999999999999982e+00,1.371834555458154981e+01,-5.205730243286790793e-02,6.828975182347038242e+01,-3.154666350596666291e+01
1.239999999999999991e+00,1.363301478663747091e+01,4.282319424299775362e-04,7.148687761916316674e+01,-2.522357836010943544e+01
1.250000000000000000e+00,1.353129104062153054e+01,5.662010422559151518e-02,7.395330704902815455e+01,-1.858319174296026688e+01
1.260000000000000009e+00,1.341199367699145029e+01,1.127043627479602517e-01,7.564185097144964232e+01,-1.173278565161781195e+01
1.270000000000000018e+00,1.327494249514145075e+01,1.645912555816780032e-01,7.652287359690646440e+01,-4.786737092858267317e+00
1.280000000000000027e+00,1.312103241848575941e+01,2.081800808119394497e-01,7.658525578285930635e+01,2.136337393438370480e+00
1.290000000000000036e+00,1.295223892109717490e+01,2.396446286159498451e-01,7.583692319243712632e+01,8.916553417465900466e+00
1.300000000000000044e+00,1.277154859331574777e+01,2.557212363554374757e-01,7.430492593294735570e+01,1.543578861370470534e+01
1.310000000000000053e+00,1.258281388709985826e+01,2.539799738611714375e-01,7.203506183853455980e+01,2.158071050576763028e+01
1.320000000000000062e+00,1.239053612292875250e+01,2.330591653060875013e-01,6.909104180744475343e+01,2.724573987430812139e+01
